Entity,Code,Year,Number of people who cannot afford a healthy diet
Niger,NER,2020,20100000
Niger,NER,2021,21299999
Niger,NER,2022,21899999
Niger,NER,2023,22700000
Niger,NER,2024,23299999
Nigeria,NGA,2017,146600006
Nigeria,NGA,2018,151699996
Nigeria,NGA,2019,156699996
Nigeria,NGA,2020,164800003
Nigeria,NGA,2021,169300003
Nigeria,NGA,2022,173300003
Nigeria,NGA,2023,178399993
Nigeria,NGA,2024,184500000
North America (WB),,2017,17799999
North America (WB),,2018,16899999
North America (WB),,2019,15399999
North America (WB),,2020,12199999
North America (WB),,2021,9699999
North America (WB),,2022,17299999
North America (WB),,2023,17500000
North America (WB),,2024,16700000
North Macedonia,MKD,2017,500000
North Macedonia,MKD,2018,400000
North Macedonia,MKD,2019,400000
North Macedonia,MKD,2020,400000
North Macedonia,MKD,2021,300000
North Macedonia,MKD,2022,300000
North Macedonia,MKD,2023,300000
North Macedonia,MKD,2024,300000
Norway,NOR,2017,100000
Norway,NOR,2018,100000
Norway,NOR,2019,100000
Norway,NOR,2020,100000
Norway,NOR,2021,100000
Norway,NOR,2022,100000
Norway,NOR,2023,100000
Norway,NOR,2024,100000
Pakistan,PAK,2017,130899993
Pakistan,PAK,2018,130100006
Pakistan,PAK,2019,135500000
Pakistan,PAK,2020,143199996
Pakistan,PAK,2021,142199996
Pakistan,PAK,2022,144399993
Pakistan,PAK,2023,157899993
Pakistan,PAK,2024,151399993
Palestine,PSE,2017,200000
Palestine,PSE,2018,200000
Palestine,PSE,2019,200000
Palestine,PSE,2020,300000
Palestine,PSE,2021,300000
Palestine,PSE,2022,200000
Palestine,PSE,2023,200000
Palestine,PSE,2024,300000
Panama,PAN,2017,1799999
Panama,PAN,2018,1700000
Panama,PAN,2019,1700000
Panama,PAN,2020,2200000
Panama,PAN,2021,2000000
Panama,PAN,2022,1899999
Panama,PAN,2023,2000000
Panama,PAN,2024,2000000
Paraguay,PRY,2017,1500000
Paraguay,PRY,2018,1500000
Paraguay,PRY,2019,1500000
Paraguay,PRY,2020,1600000
Paraguay,PRY,2021,1700000
Paraguay,PRY,2022,1600000
Paraguay,PRY,2023,1600000
Paraguay,PRY,2024,1600000
Peru,PER,2017,10399999
Peru,PER,2018,9699999
Peru,PER,2019,9300000
Peru,PER,2020,14000000
Peru,PER,2021,11100000
Peru,PER,2022,11199999
Peru,PER,2023,11600000
Peru,PER,2024,11300000
Philippines,PHL,2017,50400001
Philippines,PHL,2018,49700000
Philippines,PHL,2019,48799999
Philippines,PHL,2020,56299999
Philippines,PHL,2021,56299999
Philippines,PHL,2022,53000000
Philippines,PHL,2023,52200000
Philippines,PHL,2024,51000000
Poland,POL,2017,6599999
Poland,POL,2018,5699999
Poland,POL,2019,3900000
Poland,POL,2020,3599999
Poland,POL,2021,3000000
Poland,POL,2022,2500000
Poland,POL,2023,2500000
Poland,POL,2024,2099999
Portugal,PRT,2017,1899999
Portugal,PRT,2018,1700000
Portugal,PRT,2019,1299999
Portugal,PRT,2020,1399999
Portugal,PRT,2021,1399999
Portugal,PRT,2022,1200000
Portugal,PRT,2023,1200000
Portugal,PRT,2024,1100000
Qatar,QAT,2017,0
Qatar,QAT,2018,0
Qatar,QAT,2019,0
Qatar,QAT,2020,0
Qatar,QAT,2021,0
Qatar,QAT,2022,0
Qatar,QAT,2023,0
Qatar,QAT,2024,0
Romania,ROU,2017,10300000
Romania,ROU,2018,13399999
Romania,ROU,2019,12300000
Romania,ROU,2020,12699999
Romania,ROU,2021,11399999
Romania,ROU,2022,10500000
Romania,ROU,2023,10300000
Romania,ROU,2024,10000000
Russia,RUS,2017,4500000
Russia,RUS,2018,4099999
Russia,RUS,2019,3500000
Russia,RUS,2020,3400000
Russia,RUS,2021,2000000
Russia,RUS,2022,2200000
Russia,RUS,2023,2000000
Russia,RUS,2024,1799999
Rwanda,RWA,2017,9699999
Rwanda,RWA,2018,9500000
Rwanda,RWA,2019,9500000
Rwanda,RWA,2020,10100000
Rwanda,RWA,2021,9899999
Rwanda,RWA,2022,10300000
Rwanda,RWA,2023,10899999
Rwanda,RWA,2024,10699999
Saint Lucia,LCA,2017,0
Saint Lucia,LCA,2018,0
Saint Lucia,LCA,2019,0
Saint Lucia,LCA,2020,0
Saint Lucia,LCA,2021,0
Saint Lucia,LCA,2022,0
Saint Lucia,LCA,2023,0
Saint Lucia,LCA,2024,0
Sao Tome and Principe,STP,2017,100000
Sao Tome and Principe,STP,2018,100000
Sao Tome and Principe,STP,2019,100000
Sao Tome and Principe,STP,2020,100000
Sao Tome and Principe,STP,2021,100000
Sao Tome and Principe,STP,2022,100000
Sao Tome and Principe,STP,2023,100000
Sao Tome and Principe,STP,2024,100000
Senegal,SEN,2017,8399999
Senegal,SEN,2018,7699999
Senegal,SEN,2019,7699999
Senegal,SEN,2020,8199999
Senegal,SEN,2021,8199999
Senegal,SEN,2022,8699999
Senegal,SEN,2023,8899999
Senegal,SEN,2024,8699999
Serbia,SRB,2017,1700000
Serbia,SRB,2018,699999
Serbia,SRB,2019,899999
Serbia,SRB,2020,800000
Serbia,SRB,2021,600000
Serbia,SRB,2022,600000
Serbia,SRB,2023,600000
Serbia,SRB,2024,500000
Seychelles,SYC,2017,0
Seychelles,SYC,2018,0
Seychelles,SYC,2019,0
Seychelles,SYC,2020,0
Seychelles,SYC,2021,0
Seychelles,SYC,2022,100000
Seychelles,SYC,2023,100000
Seychelles,SYC,2024,100000
Sierra Leone,SLE,2017,4500000
Sierra Leone,SLE,2018,4599999
Sierra Leone,SLE,2019,4400000
Sierra Leone,SLE,2020,4699999
Sierra Leone,SLE,2021,4900000
Sierra Leone,SLE,2022,5099999
Sierra Leone,SLE,2023,5400000
Sierra Leone,SLE,2024,5400000
Slovakia,SVK,2017,1100000
Slovakia,SVK,2018,1000000
Slovakia,SVK,2019,800000
Slovakia,SVK,2020,1100000
Slovakia,SVK,2021,1000000
Slovakia,SVK,2022,899999
Slovakia,SVK,2023,899999
Slovakia,SVK,2024,899999
Slovenia,SVN,2017,100000
Slovenia,SVN,2018,100000
Slovenia,SVN,2019,0
Slovenia,SVN,2020,0
Slovenia,SVN,2021,0
Slovenia,SVN,2022,0
Slovenia,SVN,2023,0
Slovenia,SVN,2024,0
South Africa,ZAF,2017,35000000
South Africa,ZAF,2018,35299999
South Africa,ZAF,2019,35900001
South Africa,ZAF,2020,37400001
South Africa,ZAF,2021,37599998
South Africa,ZAF,2022,38099998
South Africa,ZAF,2023,39000000
South Africa,ZAF,2024,39500000
South Asia (WB),,2017,928900024
South Asia (WB),,2018,866599975
South Asia (WB),,2019,835400024
South Asia (WB),,2020,890599975
South Asia (WB),,2021,833599975
South Asia (WB),,2022,772200012
South Asia (WB),,2023,713099975
South Asia (WB),,2024,679400024
South Korea,KOR,2017,5300000
South Korea,KOR,2018,4400000
South Korea,KOR,2019,3500000
South Korea,KOR,2020,2700000
South Korea,KOR,2021,2700000
South Korea,KOR,2022,2299999
South Korea,KOR,2023,2299999
South Korea,KOR,2024,2200000
South Sudan,SSD,2017,9100000
South Sudan,SSD,2018,8899999
South Sudan,SSD,2019,9399999
South Sudan,SSD,2020,9699999
South Sudan,SSD,2021,10000000
South Sudan,SSD,2022,10100000
South Sudan,SSD,2023,10800000
South Sudan,SSD,2024,11699999
Spain,ESP,2017,5099999
Spain,ESP,2018,5099999
Spain,ESP,2019,4800000
Spain,ESP,2020,5099999
Spain,ESP,2021,4400000
Spain,ESP,2022,4199999
Spain,ESP,2023,4099999
Spain,ESP,2024,4000000
Sri Lanka,LKA,2017,7900000
Sri Lanka,LKA,2018,7199999
Sri Lanka,LKA,2019,7199999
Sri Lanka,LKA,2020,8300000
Sri Lanka,LKA,2021,8500000
Sri Lanka,LKA,2022,10199999
Sri Lanka,LKA,2023,10000000
Sri Lanka,LKA,2024,9899999
Sub-Saharan Africa (WB),,2017,763200012
Sub-Saharan Africa (WB),,2018,772900024
Sub-Saharan Africa (WB),,2019,792500000
Sub-Saharan Africa (WB),,2020,830599975
Sub-Saharan Africa (WB),,2021,848400024
Sub-Saharan Africa (WB),,2022,867200012
Sub-Saharan Africa (WB),,2023,893900024
Sub-Saharan Africa (WB),,2024,920700012
Sudan,SDN,2017,19799999
Sudan,SDN,2018,22700000
Sudan,SDN,2019,26299999
Sudan,SDN,2020,27600000
Sudan,SDN,2021,21700000
Sudan,SDN,2022,17399999
Sudan,SDN,2023,23500000
Sudan,SDN,2024,27399999
Suriname,SUR,2017,100000
Suriname,SUR,2018,100000
Suriname,SUR,2019,100000
Suriname,SUR,2020,200000
Suriname,SUR,2021,200000
Suriname,SUR,2022,200000
Suriname,SUR,2023,200000
Suriname,SUR,2024,200000
Sweden,SWE,2017,400000
Sweden,SWE,2018,400000
Sweden,SWE,2019,400000
Sweden,SWE,2020,300000
Sweden,SWE,2021,400000
Sweden,SWE,2022,400000
Sweden,SWE,2023,400000
Sweden,SWE,2024,400000
Switzerland,CHE,2017,100000
Switzerland,CHE,2018,100000
Switzerland,CHE,2019,100000
Switzerland,CHE,2020,100000
Switzerland,CHE,2021,100000
Switzerland,CHE,2022,100000
Switzerland,CHE,2023,100000
Switzerland,CHE,2024,100000
Syria,SYR,2017,4699999
Syria,SYR,2018,3799999
Syria,SYR,2019,3500000
Syria,SYR,2020,7699999
Syria,SYR,2021,11399999
Syria,SYR,2022,12300000
Syria,SYR,2023,13100000
Syria,SYR,2024,14100000
Taiwan,TWN,2017,1399999
Taiwan,TWN,2018,1399999
Taiwan,TWN,2019,1399999
Taiwan,TWN,2020,1399999
Taiwan,TWN,2021,1399999
Taiwan,TWN,2022,1299999
Taiwan,TWN,2023,1299999
Taiwan,TWN,2024,1299999
Tajikistan,TJK,2017,3299999
Tajikistan,TJK,2018,3099999
Tajikistan,TJK,2019,3099999
Tajikistan,TJK,2020,3200000
Tajikistan,TJK,2021,3000000
Tajikistan,TJK,2022,2799999
Tajikistan,TJK,2023,2700000
Tajikistan,TJK,2024,2599999
Tanzania,TZA,2017,42099998
Tanzania,TZA,2018,43200000
Tanzania,TZA,2019,44000000
Tanzania,TZA,2020,45700000
Tanzania,TZA,2021,46799999
Tanzania,TZA,2022,48299999
Tanzania,TZA,2023,49900001
Tanzania,TZA,2024,50599998
Thailand,THA,2017,16299999
Thailand,THA,2018,16799999
Thailand,THA,2019,15300000
Thailand,THA,2020,15199999
Thailand,THA,2021,14300000
Thailand,THA,2022,12899999
Thailand,THA,2023,12500000
Thailand,THA,2024,12000000
Togo,TGO,2017,5099999
Togo,TGO,2018,4599999
Togo,TGO,2019,4400000
Togo,TGO,2020,4599999
Togo,TGO,2021,4900000
Togo,TGO,2022,5099999
Togo,TGO,2023,5000000
Togo,TGO,2024,5099999
Trinidad and Tobago,TTO,2017,500000
Trinidad and Tobago,TTO,2018,500000
Trinidad and Tobago,TTO,2019,500000
Trinidad and Tobago,TTO,2020,600000
Trinidad and Tobago,TTO,2021,600000
Trinidad and Tobago,TTO,2022,600000
Trinidad and Tobago,TTO,2023,600000
Trinidad and Tobago,TTO,2024,600000
Tunisia,TUN,2017,899999
Tunisia,TUN,2018,899999
Tunisia,TUN,2019,800000
Tunisia,TUN,2020,1000000
Tunisia,TUN,2021,899999
Tunisia,TUN,2022,899999
Tunisia,TUN,2023,1000000
Tunisia,TUN,2024,1000000
Turkey,TUR,2017,9699999
Turkey,TUR,2018,10399999
Turkey,TUR,2019,12300000
Turkey,TUR,2020,9800000
Turkey,TUR,2021,8300000
Turkey,TUR,2022,6000000
Turkey,TUR,2023,6400000
Turkey,TUR,2024,5800000
Uganda,UGA,2017,29899999
Uganda,UGA,2018,30299999
Uganda,UGA,2019,31100000
Uganda,UGA,2020,32000000
Uganda,UGA,2021,32799999
Uganda,UGA,2022,34299999
Uganda,UGA,2023,35900001
Uganda,UGA,2024,35599998
United Arab Emirates,ARE,2017,300000
United Arab Emirates,ARE,2018,200000
United Arab Emirates,ARE,2019,200000
United Arab Emirates,ARE,2020,300000
United Arab Emirates,ARE,2021,300000
United Arab Emirates,ARE,2022,200000
United Arab Emirates,ARE,2023,200000
United Arab Emirates,ARE,2024,200000
United Kingdom,GBR,2017,2200000
United Kingdom,GBR,2018,2299999
United Kingdom,GBR,2019,2299999
United Kingdom,GBR,2020,1899999
United Kingdom,GBR,2021,2000000
United Kingdom,GBR,2022,1700000
United Kingdom,GBR,2023,1899999
United Kingdom,GBR,2024,1700000
United States,USA,2017,16600000
United States,USA,2018,15899999
United States,USA,2019,14399999
United States,USA,2020,11000000
United States,USA,2021,8500000
United States,USA,2022,16200000
United States,USA,2023,16299999
United States,USA,2024,15500000
Upper-middle-income countries,,2017,804000000
Upper-middle-income countries,,2018,747799987
Upper-middle-income countries,,2019,713500000
Upper-middle-income countries,,2020,744700012
Upper-middle-income countries,,2021,624599975
Upper-middle-income countries,,2022,605200012
Upper-middle-income countries,,2023,581799987
Upper-middle-income countries,,2024,551200012
Uruguay,URY,2017,1000000
Uruguay,URY,2018,1100000
Uruguay,URY,2019,1100000
Uruguay,URY,2020,1299999
Uruguay,URY,2021,1299999
Uruguay,URY,2022,1200000
Uruguay,URY,2023,1200000
Uruguay,URY,2024,1200000
Uzbekistan,UZB,2017,6300000
Uzbekistan,UZB,2018,6000000
Uzbekistan,UZB,2019,5599999
Uzbekistan,UZB,2020,6000000
Uzbekistan,UZB,2021,5500000
Uzbekistan,UZB,2022,5400000
Uzbekistan,UZB,2023,5400000
Uzbekistan,UZB,2024,4800000
Vietnam,VNM,2017,11500000
Vietnam,VNM,2018,10500000
Vietnam,VNM,2019,9000000
Vietnam,VNM,2020,9800000
Vietnam,VNM,2021,10399999
Vietnam,VNM,2022,10000000
Vietnam,VNM,2023,9500000
Vietnam,VNM,2024,8899999
World,OWID_WRL,2017,2934199951
World,OWID_WRL,2018,2818500000
World,OWID_WRL,2019,2762100097
World,OWID_WRL,2020,2911399902
World,OWID_WRL,2021,2746699951
World,OWID_WRL,2022,2683699951
World,OWID_WRL,2023,2653399902
World,OWID_WRL,2024,2604600097
Zambia,ZMB,2017,13600000
Zambia,ZMB,2018,14000000
Zambia,ZMB,2019,14600000
Zambia,ZMB,2020,15300000
Zambia,ZMB,2021,15899999
Zambia,ZMB,2022,16500000
Zambia,ZMB,2023,17000000
Zambia,ZMB,2024,17500000
Zimbabwe,ZWE,2017,11199999
